,content_remchars_remarroba
2500,can't freakin sleep and i have a horrible stomach ache   
16702,why am i even trying to go to sleep. its 28c in here. i miss the cold winter nights   
32228, you should do an # for the safesex topic   
32709,  i never followed him in the first  place!   he is a useless waste of space. and im not a conservative! lol   
23226,i just got a twitter account   
28785," were you able to watch it online?!  i hope you were!  and yeah, belinda jensen was really good   "
117,damn it were is eric or anyone else when you need your hair to be played with   
3286, love the stuff he sell... you should help this guy with his logo and shop  it's kinda wordart   
7364,am i the only one experiencing problems logging into digital point forums ???   
6057,i miss laughing till my stomache hurts   
20093, i love it...that's going to be one of my new fave quotes.   
10123,a little 3 mile run done!  22.5 minutes...  i'm exhausted!  not impressed with the hrm...   
26786,listening music with my friend   
14275, ? what is this? is everyone abandoning me?        ;-)   
36204, exactly  prime minister doesn't need take care this issue   
18772, why don't you have that song you gave me that song   
38928,"finishing off a quick magazine article for cap, can't wait to get it done and get back to the book   "
25087," ok thanks for the help! i hope they respond to me sooner or later, then! thanks!   "
11115,is happy...skool just let out..! today was my last day..! yippee! r.i.p jackson tyler morris..! always loved and never forgotten..!   
18127,johnny actually invited me to the movies but i have too many things to do before the concert   
26574,so most kids love my dark hair some say that i dye it too much and they never know what color its going to be  yea me hahahahaha   
2232, yay! thank you.. feels like ur yelling at us   lol   
38560,i'm really full. had a huge breakfast.   
31185, i guess thats just how i am lol   
2171,starting to wonder if i'm going to get this job... came across as though i'd find work elsewhere if needs must... not intentionally   
1554,  wish u could rub my head too   
25912,"i woke up at 5:45. didn't have a full bladder, wasn't sick... and to top it off, i went for a run. now i wanna go back to bed   "
36193,morning everybody   
19935, maybe someone is trying to hack you   
6210, damnit i didn't  but neither did you so win!   
38174,thanks       
14494,cof cof cof!   
14592,ops sorry  queen mom   
2482,hydro drive abandoned after three miles   
38132," oh dear, what a rotten life you lead, not!   "
10515, starbuck   
23309," well alright. but #dollhouse is still fricking awesome. elisha's performance in last weeks episode sold me there too, finally   "
13471,  what i said!    i'll have to think about it and try again!   
39318,filming the very last scene of afflicted - then it's on to sound design... soon! soon!   
17284, your teacher sounds uber disrespectful.   
7718,"pinkpop weekend & i've got no tickets, meaning no bruce springsteen  oh well, it's wwwwweeeeeeeeeeeeeeekkkkkeeeennnndddd!!!!!   "
38198,finally synced ipod   
39254, please wish your wife evelyn a happy mother's day for me and tell her i hope that she has a wonderful day. spoil her today.   
12368,my 89 year old grandma in chicago is having emergency surgery today....   
32673,"going to bed, busy day tomorrow...happy mother's day madre! te amo!   "
7650, ah gdit! ranger game this afternoon   
23457," yeah, they're great. i think we'll hear more of them in the years to come   "
22962," you too, remember the kids' grenades will go off again as soon as you've tidied the house   "
22714," thanks for asking, sarah  i am glad tomorrow (5th) is a holiday here in korea. i will have some rest and i will be right as rain.   "
11273,3 shots of espresso aaaaand....nothin'.   
15180, wowzers! thanks! bang bang misses you on the dance floor   
14811,going to buffalo wild wings to meet up with my best friends i haven't seen in forever! too bad i can't eat the food   
10352,i haven't have had an weird kiss yet  ..all were damn romanticaly hot.. #twpp   
35052,good morning!!   
19962,lonely   
14912," sorry to hear that.  if i didn't already so much planned this weekend, i'd have considered going too.   "
37767, love you more. cant wait to see ya soon  night   
31260,  they follow my   
37299,studying math ) it brought my brain to explode   
17876," i was supposed to go tomorrow tooooo, but have to use gas and ticket money to pay for car inspection fee.   "
19664,  so now im bored..untill i go out   
36701, i don't remember cause i was watching so many on youtube... lol will get back to you   
6733,ughhh studying for finals i wish i could go to prom   
33763, here's a quote for ya: jesus built a bridge with 2 boards and 3 nails.   
27879, if i know what you want it is easier to please you ;). i am glad you mentioned it   
23063,enjoyed country style mince with mash for dinner & is now drowning it in 2006 nussdorfer herrenberg (produced & bottled in germany)   
37783,"i love pink, and i don't care. today i shall not tweet as i have to hardcore work with jamie! have a nice day everyoneeeee  xxxxxxloser   "
17432, good to see you back. sorry that happened to you   
28777,good morning. today is my last day of freedom. back to work tomorrow. i'm sorta stoked-not stoked. but well.   
31612,  thank you!  tomorrow is my b-day too! i tease my mom and tell her i was her mother's day gift.   
5265, i think i've been killed judging bt my energy after attacking just to see what happened  #spymaster   
33612,welcome to the family new pillow  im going to lay my head on you tonight!!!   
37827,hi beautiful! how's it going?     
12342,aww man.  arrived. how-to guide-less   
16513," very afriad  i might copy the picture that i just put up... and change it a little, should i?   "
144, i'm too awake now  ill have a nap this afternoon   
32628," it's not a test to find cancer, it's just some stuff in regards to; in this case, positive results would be a good thing   "
4046,oops spent too much already lol 50 quid gone   
25571,#juddday   
5036," why can't i buy the new night in for toes? i see it, it's within my grasp, but it's just not bringing it to my shopping cart   "
31555,loviiing declan   
31473, hehe true. i wonder what he will come up with   
39573,round and round the garden: the amazing thing is that he's still talking to me!     
95, hiii im on my ipod...i cant fall asleep   
11790,ugh. i just want things to go back to normal. i miss my best friend   
20677, oh that totally works too   
27958, yo wake your ass up  and go to work  go get that paper  u aint sick dont lie   
34710,is...sayin happy mother's day 2 everyone!!!!!   
19031,"  i know, i would've liked to have been able to play with you all spring semester  meeting was good, just an introduction   "
23774,goodmorning everyone   
30947,crazy in love sfoot cover 4 that song is awesome better than the original well at least that's what i think   
28521,currently munching on baby carrots! nom nom nom nom...   
26445,from my heart to yours   ?    
31019,diiinner  its sooo cold right here d:   
26218,made a seamless connection to toro toro quebec two.   
2272, it was white...  i acidentally left it in when i was doing my colours...   
528,at the grove for 'drag me to hell.' i hope that it doesn't suck.   
22520, haha check out our site its got some good ones too   
25090,im am going to send some twits to some folk...............   
29935,ada acara menarik lain: keys to the vip di channel v. ttg straight yg dikasih tasks to approach strangers in the crowd.. hmm   
5746,honestly i cannot figure this twitter thing out   
27342,   well....hopefully someday soon you can get one!   
8281,is sitting in science freezing  four days (:   
30944, probably the coooolest thing we've ever done   
21072, thanks!   
36956, happy mothers day mark   
7599,bar exam madness:  topic for today is torts   
12366,"very bored. all day, no one 2 talk 2. missing my bf (and his kisses). hols almost over,  don't wanna go back 2 skool.   "
8673,woke up early!! dang man i know i'm not going back to sleep   
5844,  i'm so sorry.  i don't understand why some people expect everyone to react to these things with the same poise as themselves   
19321, damn! natalya! you gotta tell me whats going on!!! i'd call you but i lost all my phone numbers when i broke my blackberry   
26731,"just woke up and washed up, i have class  10 till 11 then chillin in g building with my nigguhs. then my bby is coming over  3:30!  ilh?   "
3664, i wish i could still drink it but i had two bad nights with white wine in london and then i was sick for almost a week   
30805,have a good day      ?    
33655, the president was funnier   
27910,pilot to co-pilot baby we burnin' up   /i cannot stress how much this line works.   
11775,i'm at work....bored out of my mind.   
35567,just installed youtube downloader  anyone knows how to make a trailer out of videos??   
5723, i want to play   
20463, hello  i'm up late playing on the internet. i love you!   
6629, can u let her kno that lady's not spayed and potty trained :/  then see if she still wants her   
38625,so this my last week of school then finals yesss   
3199,has lost his vocie and adele is laughing at me lol and still wondering why i'm in college on me week off   
1649,have a splitting headache!   
15556, sorry you didn't make it  good luck next time though!   
35114," it is, pinkwind is a thing from vanessa's dad. and my sister made me that sn in the 4th grade   "
12471,last day of work  ...but everyone is making it so great!   
12333,post-crash spotlight is now spinning its wheels indexing my time machine backup drive. naturally the drive is in the do not index list   
5550,"thought id tanned after an hour in the sun, i was wrong....i've just burnt   "
2746,is not paying 8 per hr for internet access so may be limited to twitter via txt   
3279, at work at the mo and it's so sunny here today   off to see a band tonight!!   
12913,  aww mamas... i hope all is well. get some rest beautiful! muah! holla.   
33709,  #stackeoverflow     
39739,"happy mothers day to those of u that are mothers, and happy mothers day to all of your mothers      i miss my mom....   "
37958,finally going home! its been a long night.. ready to crash and have awesome dreams   
39491,happy mothers day to all the beautful mums.   
34085,"success! after much grumbling abt how we always waste money on useless gifts, mum sees the ipod nano and loves it   "
27139,great cover  ?    
36885, thanks for adding me   
5920,  when are you coming to indianapolis  !?!?   
35746,"finally back in bed with my puppies after a long week in jamaica. loved it, but lve to be home too!! night   "
29103, lol...he was cool! shoooooot...   
31550,"just about to go home. i'm usually 'mr. positive' but this has been one of those daze. well, 15 mins until tomorrow!   "
10639,"on the airport in philadelphia at the moment, waiting for the plane to leave in about an hour. just six more hours on a plane   "
29832,"getting ready to go read, pray, and go to bed. enjoy the rest of the night   "
14757,been working so hard - its a drag not having time to tweet.!   
6526,can't believe this shit! i've spend 30 minutes for for a snickers ice cream... seems like no one does then anymore!   
17151,just got home from the bea & it was kinda boring (2 me) this year  but hung out with some great authors & co-workers!   
25516,awesome and exciting     
34900, night   
33588,   thanks for the love yallmy tweeps   <<< fa sho!   
3625,last day in st andrews.. i will spend it on west sands! and then packing   
14517, he played the song but didn't send it out as a request   
16499," ... you mean the fam , minus ahugs   "
32255, hey beautiful whats up?   
26453," thanks, kelly! you are too sweet!   "
18068,"my nose is chapped, yuck   "
21468,    can i get in on this?!   3 way call !!   
25052," - my new baby cousin, olivia. 8 pounds, 19 inches. perfectly adorable.   "
4406,gonna go get my teeth taken out.   
3826,working wearing sunglasses...my eyes are bleeding!   
7222, damn   
4984,i love how nice the weather is today and i am camping tonight! oh and i hate my hair   
23410, how was bamboozle? i wish i could've gone. && have you worked with laurie ann gibson? she told me you guys worked together   
12797,man tha mojitos from earlier got me feelin type funny. hope i don't get sick     
34335, you know we do!   
4945,figuring out wats wrong with her she can drink but cant eat  ...   
31339," many thanks, mate   "
31131, 11 30s way early! anyway nigth night  love you!   
3644, ugh! tis so warm outside too  unfair! i want to go read and pack!   
24490,may the forth be with you... ha yes... today is my birthday  star wars day... aren't i lucky you star wars fans?   
26538,"later i went up to monroe and worked out with friends - trx, ropes and kbs!!   30sec on/30 off..rope swings & c&ps, windmills, wve aquats   "
5945,my coffee got cold blah!   
21226, lol the sun is hiding hes having a lie in  hows you?   
20068, - it is interesting that vs2003 generates a setup script for uninstall.   
18006, why do they do that?!   
2319,the sun is shining and i'm stuck in work   
5478,i so should've gone right now!!! *wish i could alter time!!  *   
17930,i recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!   
20646, am busy yes...but then always am. hope you had a great time traveling.  where did you go?  welcome back!   
18727," right my fellow fluffy flasher! i must go to bed, sorry  i hope everything is working properly 2moro and we can chat! love u x   "
11143,toooo much outside killen my eyes   
39247,signing out for the night - have a good sunday night all   
26828,happy star wars day   
15612,.  will have to try.  our pei wei closed so i can't try there.   
30618,this is fun !  haha re guy from all american rejects looks like he's on crack!!   
35388, i posted it! let me know what you think? theres a really cute cut out in the back too.   
16542, really? bcoz i'm not good in math & we r learning sumthing that we won't need  so thats why i don't like math & my teacher is uh   
37864,"watching videos on facebook makes me feel like the biggest creep. which i guess i am. also, tweet #200! woohoo!   "
23827, you do realize tom fletcher from mcfly just posted basically the same thing!! twins!   
25098,is bored. waiting till 7:06 to go out to tha bus   
10051,went to the vending maching to get bugles. no bugles  perhaps it is a sign that i don't need the snack anyway.   
15920,sitting in on a friday night bored   
22585,"s/s aus fshionwk- zimmermann,illionare,dhini + gail sorronda,romance was born,lisa ho,cassette society-loved the tutu, balmain ispired?   "
12690, i want 2 but i dinna hink it'll get shown in elgin n got nae1 2 go with(n)   
37817, did you tweet me? i thought i remembered seeing one but i cant see it now! so glad teatree is ok!   
13801, where i do not see you steff  what time are you on it ?.   
15555,still have a high fever   
12530," no, def rubbish tonight   "
17656,this day jus keeps getting better and better  fml   
496, i met a stranger just 10 min ago. he was stalking me at the store   
23267,in a rush....   lunchtime anyway   
18467, ouch  does picking your nose count?   
22315, vll iwas mit kse   
19429, what happened? who's the jerk!?   
17828, tried to follow one of your #ff recommendations but have been blocked from following by request of the user   
31469,had a awesome day!   
14478,why wont the wii get paperboy on virtual console   
4587,. ... and now i wish i hadn't   
393, did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? it is very sad   
16022,"actually, i like almost everything about my job right now. except the part where it's not permanent   "
36834,: so wonderful to spend mother's day with my mum.   
39239, ...now i'm going back to bed. lol. enjoy your time at the gym. i'll be sleeping.   
10245,moving offices  i'm going to miss you hollywood.   
5078,"had to come in, was baking out there and have slight headache now   "
22658,  - looks so good!!  i want one!!   
19705, no.  i lost the link you sent when i had to pull my battery.   
18706,i going to go to bed & i failed miserably at booking a holiday  although i do seem to have a new follower. high five. x   
25661,happy #starwarsday. may the 4th be with you!  from everyone    
8788,family are home doesnt seem like they missed me at all tbh   
8490, - one more funny msg on fb. this time with an actual link  today i have received 5 such messages   
37916,#f1 in a few hours guess who is sleepin in the living room   
29528, cute   time for a twitpic ;)   
6874,at a redneck hoe down apparently.   
811,oh no my tweetdeck is malfunctioning :o il have web will its fixd   
14677,i'm craving something salty in my mouth!  tired of pretzels tho.   
18010, it's been raining every single afternoon in s.florida  not fair! hehe   
4484,"sry but other day tweets were mia - twitter network glitch, but story was re: funeral mix-up, as in wrong remains delivered to ea.   "
1398, that sucks  what bout kate   
39393,kids  b'day party/picnic  in canazarro park.  the other half 'hurts' today   
19897,. i was like whyyyyy?!   
25366, i just read online the article you mentioned..meh.  i am very happy to be stuck on you and the guys--just try and get rid of me   
15917,so bored without a camera   
9039,its impossible to watch in full any flash video with my mac after 5.7   
24740,gotta get ready to leave....alec and i are going hunting outside of volterra. this should be fun.  talk to everyone later.   
14099,ugh trek of hollie steel  she annoys me >   
37829, my friend it's 5:10am here and can't fall asleep i need to be counting sheep too ha   
30685," missed interview on npr, ironic because listened to npr all day on long fucking car trip, watching needle now, looks good   "
24277,ready to go home   
17607, what a great project!!! wish i could have done that with dd1. she's too old now.   
1024,"off work, trying to relax for about 30 mins before i've gotta go back to sleep   "
26956, ah lol okay. thanks   
34393, tell him where...   
5552,  i was supposed to be coming...life got in the way lol give my friends a wild time!!!   
25236, hey!  yay! thanks!  wow ur page is awesome!!!!!   
34168, - before prom. this is when all the chaos began   
25171,retweeting : win an at&t pantech matrix pro  - it's easy to enter! so go do it!   
8575, i called but you didnt answer   
35697,good morning guys!  dont forget: today is mothers day! mommy? i love you ! youre the best <3   
27779,happy morning sunshine  it's may 4! i'm driving with the windows down and singing and smiling and not wearing shoes because i'm kirsten!   
33120, lmao yeaa iight n u shuld put tha c.b flick up w. panties on ur head .. juss a joke   
20485, hi i have uploaded 5 completely new chinese lessons on  please feel free to watch and enjoy   
37095,"googled mothers day, phew, us & uk have different dates! learn something new every day   "
32151,does it get much better than king of queens and some honeycomb knock-off cereal?   
26315,in bed. a cuppa. tv on... all this while husband is cooking... life is sweet...   
17378,tired.....but can't go to bed yet.....   
30602,saw james carville in the store today. his head is really that bald   
9374," no, i do better with people i don't know   you're going to chiodos tonight, right? just kill something for me.   "
3470,is having brain blockage in musical thoughts   
21816, you know you love it   stat-k   
8351,i hate taking lily to the doc to get shots. it makes me super sad   
13573, i know the feeling.   
7263, hope that migraine doesn't stick around for too long.   
20439, fil 461 with cool people like me   
26175,happy birthday snickers!!!! ? i hope you have the best day ever! let's go shopping!!!   
5923,moving makes me sore.  dunno if we are gonna make it!   its getting close!   
177," its so addicting, but its kind of a curse to do them at night time. everytime i do one, i feel like making music afterwards   "
12837,wish i was going to prom!!!!  oh well..going to go wish my girls good luck!! then going to good oll applebees!!! yumm   
24247,thanks  i will have the editing done soon for  i see i do a better job behind the camera instead of in front of it   
30922,i had an amazing night with my friends!!!  now i am losing my voice!   
16348,realized that managingonlineforums hasn't been reviewed on amzn in may! i'd love if someone would share their thoughts!    
28471,rain makes for a good study day  almost done!!   
4094,"wah, my fav whattaburger location is closing on the 31st. damn. good thing i'm moving.  damn  mon/fri won't be the same   "
32661,mm. goodnight. going to play rock band 2 'til it's time to watch snl with justin timberlake.   
24440,"skipping school w/ carleigh today, both of us barley got an hr of sleep last nite. i got a new bby kitten! shes all black   "
35680, love your website! wish i lived closer to sample the cupcakey treats   
19069,officially has pink eye.   
30477, omg in your pic youu look so cuute !   
303,"not one sale done today at work. explored balconies in the big theater w coworkers. a fun day, but void of chili fries and tips   "
6934, nice beta for easports still no news on the online for madden   
30735,watching laura's nephew dance   
20148,its my bday!!! i'm gettin older!   
8058, yeah the weather ruined my plans too  i was gonna beach it up as well   
31924,happy mothers day mum   
671, ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though   
35999,wonderful day for my photo practicum of the fotoschool. i wouldn't mind some typical dutch clouds though   
31535,after 11 months....back to twitter again   
28199,happy birthday mommy   
39873,man i hate church. has to be done though. i like the way it makes other people feel good   
39171, hahahaha...yeah you mess up that crossing and kneeling bit you will get called out...joking   
26622," loved your running trek film posts over the weekend. will probably wait a few days to see new one, so no spoiler tweets!   "
36991,oh what a night love me some aces   
5560,i'm really bored! my brother went to get his permit! stay off the roads! jk lol! it feels like all my friends have abandoned me! except 1   
10577,was about to head downtown...now there's a flash flood!  - photo:    
13363, iv only got two twitters on here !!   
2699, yesh and that potato guy is online... but hes not live   
23592, flo can spell antidisestablishmentarianism off the top of her head. wait i just did   
1672,stuck in some shitty traffic! this day is going to be crap   
6483, bad luck  oh well next time you will be more lucky...   
29716, i love that song! i was starting to think i was the only one that knew that one!    #sameperson   
37201," yes, i downloaded it from the website and since i'm tweeting from it now, it must work   "
327,im contacting paws philippines so i can find tiger a new owner. im so sad. i love my dog soo much   
5800,"visit 2  la ventana de los cielos foundation was pushed bck 2 weeks,  was so excited 2 go & meet the kids. i'll have 2 wait another 2 wks   "
34920, very much much much mash!!!! more please   
27461," its funny, i didn't even know it was there!   "
35060, happy mom's day to you too   
35106,"look, everyone! i'm a bad boy! i'm ranked higher than meghan mccain!     "
16247, sorry about youre mom  but its great to hear your dad is the best - then you forgive him the sparkle ?   
35414,"   you guys were absolutely amazing tonight, as always. thanks for always bringing the dance party.   "
27939, go girl!! start your day out right...gotta love that!   
22795, awww cuuuute  newborns are so fun!   
23807,excited to jam + and auditions   
16928," aw, sorry ur day sucked!  did u see my post abt car issues? lol i think it's safe to say it can only get better tho. beer-thirty?   "
3653,"feeling very stressed and strung out, awake at 4.50am, mind buzzing... and mrs dr. a is not talking to me   "
33101,sunday my last day at apple but i won't be in. come kick it with me at el farolito 4817 mission street  730pm   
35819,"watching almost famous with andrew, michael, and yolanda   "
16322, cause i'm not hearing from you guys!!!   
36024," yes, but i'm quite rusty.  i'm hoping to get back to it and tune up my skills.  tim plays guitar.  we threaten duets.   "
39402,"next movies for me : terminator salvation and transformers 2, gonna be a meka spring this year   "
5881,  chroma key coolness ... when are the cumulus seminars going online couldn't see the live feed here   
592,i cant use my blackberry today. this sucks.   
1142, you guys gonna tour with short stack again? i missed your last tour  me friend went and said it was mad!   
10954,yay! got to order more diapers from  i'm confused though. what's the point of cute prints if they have to be covered up?   
19177, i can't shes taken my keys to muh car.   
27160," wow, that's good   "
11919,another friday night in. man being skint is rubbish.   
15016, because the ferry that was supposed to take us out changed their schedule. so now i have to fly out on june 30 on a red eye   
27735,oh yea mspacers my boy just hooked up my page  it looks kewl at least i think so and it only took him 5 minutes    
37366,"and i'm back, from a sooper dooper, extra bharia, extra dhumchik two day stay at mom's place, yay!  it's a fun fun feelin'   "
13260,"dlukasrossi lukas- your amazing wife, her updates are locked! hard to convince people to follow protected profiles,   "
16459,how the fuck do 2833 songs fill an ipod that is supposed to hold 4000?   
16280, idkkkk i haven't planned anything.. work lol   
11070,yea baby!! im gonna miss you so much   
15629," pleased to hear it, but still i am shamed sometimes to hear what some men do   "
21679,editing something in photoshoot  niley   
38619, cleaning the house! going out at 3 to see a soccergame with friends   
38238,i like  already  (new follower to join in midst of zombies mayhem)   
6469, yeah  it will get better though  i know it!   
20803,bit of soul time 4 this mama  will visialize next living environent. speak soon.   
18217,"i had a realization today, and it made me sad  but at least the healing can begin.   "
11683,workout done for today. now time to get ready for work   
31567,home now!!! lol but leaving again on monday for flo rida!!!   
23116,may the 4th be with you  (via ) thanks. i get it now. and it's awesome.   
16366,love  love him.      that tease of your baby  the end... boooooo. still luv tho.   
31615,is up. moooooorning!     
3929,its my last friday of my high school years!   
30068, airsoft is so much fun! i play with my brothers and it's a great bonding experience.   
35161,"according to mary chaayaa, i look like a sexy emo in my dp  i not emo.   "
10459,my cat died of kidney failure during my math test  this day needs to get better.   
26240,bon voyage birthday brother  mccarran! cyah again vegas in july. havent slept yet & class  1  .. such a fun weekend   
33788," ok, smart ass.   you guys should add marky mark to the playlist, since donnie produced a bunch of his stuff.   "
29863, i had curry shrimp yesterday lol i love seafood   
13547,look at how far away i've gone... locked away in a room trying to work in silence and yet... constant urgent emails and im's persist   
21471,?????  . ??????? ???  and may the source be with you   
24563," i agree, keep it in star trek but make it commercially viable! c'mon!   "
39157,happy mother's day valk!!   
26740,its 35 now.   ilycecily <3   
37562,everybody needs some time on thier own  guns n roses x ?    
14947,"...wait, i lied.   "
13275,ugggh. its so nice out! i don't want to be working with back-up dancers.   
27979, woo hoo! it's time to play name that twune   
14742,mummy i need you   
22603,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank god for herhsey's chocolate syrup!   "
7981, tell my work to give me two days off in a row! stat! i'm full time i'm supposed to have priority   
24291," washing off, comp was great..more people and fab atmosphere. 1st in dist. and 2nd in exp. sess.   "
13475,"had to pause tv, now i'm 10 minutes behind on bgt   "
8745, no idea   
16025, cool. my boobs itch. got sunburned at the volcano   
26644, i am definitely ready... actually ahead of you... i already have a sun tan and i was out at the beach yesterday.   
23524,is going to be in texas in 15 days!!! eeekkkk!!!   
36064,happy mother's day to every single mom out there. i love my mommy   
16952, ahh dang of course it had to do that  she better e-mail you back fast!   
37955, how have you been   
701,math quiz: if meow =  but allergies =   then meow + allergies = ?   
33200,hanging out with dan and brian in my room for my last night   
6083, when it rains it pours - how true is that? i'm so sorry  i hate those kinda times.   
6391, aww what happened?   
4263,i think i'm broke again.  :\   
11568,  that's not good! hope you get better soon and good luck with the exams!   
35462, that is not even a question. when/when is the question   
11440,#fieldnotes i ordered some on the 8th and they still haven't arrived. 3 weeks and still no books   
32244, i hear you.. it pisses me off haha   
19753,missing nathan and the bccg already. and my best friends that tried to visit me   heading back tomorrow afternoon.   
16751,    victory! now i just need to reinstall all my damn apps.   
34709,my phone keeps beeping at me... thanks alan and speeeeeen!   
26434, - waitin on them 2 tell me what's the plan   
32352, sunday and mother's day!   
15989, i didn't get to chat!   .  oh well.  time to eat a praline.   
30118,had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*   
24723,just got back from mcfly concert ahh it was so amazing! and i am now in love with david archuleta   
7008,"thanks iphone, you kept me up till 1 am. asshole.   "
31204, awwwww poor drew... i hope you feel better before krush   
7312, i wish you were here to take care of me   
19983,can't find any pictures  !!!   
30838, im in schaumburg rite now ... and u want ice cream lol its type chilly outside lol i got ice cream here   
28386,going to search out areas we would like for our dream home to also home my home based business one day soon.   
15539,"i cant believe that its already friday! omg, what had i done?!   "
24763,back from the yoga retreat. i recommend this to everyone   
3499,why am i limited to only being able to sync with 1 ms exchange account on iphone?  ... same goes for outlook. why can't i have more? lame.   
31267, happy mothers day paula   
18685,as it turns out i do not get to go see the decemberists...   
3739,leaving tomorrow   
38840,off the a village may fayre now.  bag packed ready to bring back home-made goodies.   
31948," i have a 2nd monitor i could use but not sure i'll be able to hook it up! need to make sure i have the room, sure hope so!   "
37317, well you can only find out why by first knowing who?   
13444,: cool that you liked germany and the awards! i saw you on tv cause i couldn't come to the comet and see you live  xoxo   
9924," aww if i could, i would...  gby ;)   "
4844, cubbies at an even .500. so what else is new?  no matter: beat dem bums! #chicago #baseball   
11718,its hott out. i think i shall go swimming. eh i feel empty had my dermals removed and took out some other piercings.   
23770, just this random quote! i love stuff like that...   
15764," that's what i get for writing up my halloween interview w/ danielle harris. darn, i was too late for the contest!   "
3496,i wish i could of been at commencement this yr  i wonder if they're really going to protest.   
13416, ohh.. #twpp is falling silent..  i was waiting to track ur us version.. next time maybe.. btw sunny california sounds good   
26353,hey  keep clear   (robluketic live > )   
11661,", you make baby jeebus cry   "
29059,i forgot how much i really needed music until i barely had any for about a week. but i have music now. yay!   
14386, oh no!  i hope you find your kitten   
25389, thanks   
7706,mcfonalds roulette i i lose. they forgot mygrilled snack wrap   
3406,"feeling a little under the weather today  got a funny tummy - however, the sun is shining and i'm at home. yay!   "
10553, yeah prbly pickin up songs for singstar. haven't checked the last few store updates. and dunno that cranberries song.   
4065, company policy. has been for the last two places i've worked at   
12116,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww     
4486, um hi. good morning. rough night?   
10511, playing with lighters fire matches and grass   
723, aww. me too  annoying!!! :|   
31172,"found a pack of united red carpet club booze vouchers. anyone wanting to have quite a few drinks there, come with me as it appears   "
17796,  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun xxx   
6970,live now  live! )  dj jayem b2b e.s.r  click :    
16364,test discovery just missed being in py3.1   
34384," happy birthday, david   "
23112,don't we all love bank holidays   
5123," i never know whether they include me. just straight white men, right? i wanna be part of the problem too.   "
7028,"kerry threw a ball at anand; it bounced off his head, landed on my lunch and it exploded everywhere.   "
39591," hey!  not much, you?   "
24422, it can only get better.   
11481,: to triste   
31937,"2night- dance parties, fun times, & awkward situations  highlight- driving w/ nims and annie listening to satellite windows downnnn   "
16032,i miss talkin turkey.  i really miss talkin turkey.   
36592,cock please   
10491,i'm so hunrgy right now and these heels kill me i can hardly walk in them   
15103,guess not today   
924," haha, its under 18 : so ive got no one to go with  curse none of my friends liking tai lol   "
15699," aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory's full. plus i wanna take it 2 sa this commin weekend.   "
11768,today was busy.. geez. getting ready then graduation   
4095,i saw the best 1980s back combed poofy bangs this morning on a 30yo... 8 in high. by the time i turned around she was gone... no picture   
11532,smh  ppl who only twit u up on fridays b/c u got 100+ followers and they're still banking 15-20  #nofakery   
12218, i have one too   
30744,d-lab on mit open courseware  there goes my chances of getting any work done in the next few weeks   
1439," hmmmm, that's not nice... think you should take it back. i can't help it i'm hungry. no food in this office.   "
858,"should have gone to bed ages ago, damn you tedtalks!  gotta get up early too   "
23986,ya i walked into the wall thats why i have a plaster on my neck   
13501, you should tour!! *lol* i live all the way out in tennessee! :-p jk. how would you do that?   
23435, well tell me what fashion tips you need and i'm your woman  hehehe   
9500,"really need to study, many books many updates  :~   "
5376,could do with some messages to cheer me up  !!!!!          
39407, good luck in the pressure test! don't worry everything will be great   
30056,downing a glass of ginger ale and then relishing an early evening in bed with because i said so on lifetime.   
1798, penis.   i hope you made sure it's okay. d:   
6150,venus williams is having a horrible day at the office   
33987,everything is good except that neck shot and steve's back of the head shots!   
34763, mon ami since 5 years young  i loveeee her. foreverrr   
23232, i love pb & banana sandwiches!! still a fav of mine   
10656, oy.  get checked for ulcers please please please.   
3010, ojee! that sucks...   
6864,is getting upset at work cus bindz and j are being bullies  and they won't let me go duty free shopping!   
19361,rushed to get to ups and they close at 7... i got here at 705 after making a wrong turn   
6432,drunkduck misspelled buinne for the announcement of the twenty-fifth page. i'm very sad.   
39166," i'm ok i guess. talking to - biiip - right now, or..on sms. haha well, how are you?   "
37865,"paul scanlon sharing from god's word this morning, he's sounding a bit hoarse perhaps a touch of *#cold*? it won't hold our pastor back   "
31843,long weekend. thank god i can sleep in on monday   
25065," i will definitely pray, and bath  thanks   "
38270," lmfao. omgosh when i first heard that song with you,i felt like i was gonna pee myself, omgosh the waltzer man!  lol xoxo   "
24662," cool, sounds like you're progressing nicely  i've had a nice flight in the duo and a landing just before the downpour very cool   "
8667,im still melting and im in the house in the shade  its not fair.   
29975,listening to the best days of your life by kellie pickler   
28416,"yes, he's really back!: i couldn't wait for this day to arrive and finally it's here! gale is back!!!  i'm pos..    "
5621,really nice outside...i'm stuck at work   
14908," it felt nice, but staying outside for too long and your definitely getting burned! hurricane season is here though   "
20962, babe text me your email address so i can send it over   
28256,has bought more holiday clothes   
19519, crud is all i can say   
